"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2021-07-01#StationRSP/KLRSP/L1Gelephu Town68448.4668.452Sarpang68534.3168.533Dagapela70148.1970.154Tsirang69669.3669.675Zhemgang72782.0772.786Trongsa71765.7271.777Bumthang72200.2872.28Dagana70642.3570.649Lhamoizingkha71880.3271.8810Dangdung71898.7171.911Panbang70000.997012Tingtibi70210.2370.21",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,68448.46,68.45
2,Sarpang,68534.31,68.53
3,Dagapela,70148.19,70.15
4,Tsirang,69669.36,69.67
5,Zhemgang,72782.07,72.78
6,Trongsa,71765.72,71.77
7,Bumthang,72200.28,72.2
8,Dagana,70642.35,70.64
9,Lhamoizingkha,71880.32,71.88
10,Dangdung,71898.71,71.9
11,Panbang,70000.99,70
12,Tingtibi,70210.23,70.21
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2021-07-01#StationRSP/KLRSP/L1Gelephu Town68448.4668.452Sarpang68534.3168.533Dagapela70148.1970.154Tsirang69669.3669.675Zhemgang72782.0772.786Trongsa71765.7271.777Bumthang72200.2872.28Dagana70642.3570.649Lhamoizingkha71880.3271.8810Dangdung71898.7171.911Panbang70000.997012Tingtibi70210.2370.21",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,68448.46,68.45
2,Sarpang,68534.31,68.53
3,Dagapela,70148.19,70.15
4,Tsirang,69669.36,69.67
5,Zhemgang,72782.07,72.78
6,Trongsa,71765.72,71.77
7,Bumthang,72200.28,72.2
8,Dagana,70642.35,70.64
9,Lhamoizingkha,71880.32,71.88
10,Dangdung,71898.71,71.9
11,Panbang,70000.99,70
12,Tingtibi,70210.23,70.21
