"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2022-03-16#StationRSP/KLRSP/L1Samdrup Jongkhar100066.17100.072Wamrong101691.67101.693Trashigang101802101.84Trashiyangtse102856.36102.865Mongar102957.62102.966Gyelposing102820.42102.827Kanglung102119.76102.128Pemagatshel101515.06101.529Lhuntse103433.78103.4310Jomotsangkha100909.82100.9111Autsho103051.11103.0512Doksum102095.71102.113Bhangtar100674.09100.6714Rangjung102128.1102.13",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,100066.17,100.07
2,Wamrong,101691.67,101.69
3,Trashigang,101802,101.8
4,Trashiyangtse,102856.36,102.86
5,Mongar,102957.62,102.96
6,Gyelposing,102820.42,102.82
7,Kanglung,102119.76,102.12
8,Pemagatshel,101515.06,101.52
9,Lhuntse,103433.78,103.43
10,Jomotsangkha,100909.82,100.91
11,Autsho,103051.11,103.05
12,Doksum,102095.71,102.1
13,Bhangtar,100674.09,100.67
14,Rangjung,102128.1,102.13
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2022-03-16#StationRSP/KLRSP/L1Samdrup Jongkhar100066.17100.072Wamrong101691.67101.693Trashigang101802101.84Trashiyangtse102856.36102.865Mongar102957.62102.966Gyelposing102820.42102.827Kanglung102119.76102.128Pemagatshel101515.06101.529Lhuntse103433.78103.4310Jomotsangkha100909.82100.9111Autsho103051.11103.0512Doksum102095.71102.113Bhangtar100674.09100.6714Rangjung102128.1102.13",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,100066.17,100.07
2,Wamrong,101691.67,101.69
3,Trashigang,101802,101.8
4,Trashiyangtse,102856.36,102.86
5,Mongar,102957.62,102.96
6,Gyelposing,102820.42,102.82
7,Kanglung,102119.76,102.12
8,Pemagatshel,101515.06,101.52
9,Lhuntse,103433.78,103.43
10,Jomotsangkha,100909.82,100.91
11,Autsho,103051.11,103.05
12,Doksum,102095.71,102.1
13,Bhangtar,100674.09,100.67
14,Rangjung,102128.1,102.13
